canonical	preferred_dir	preferred_path	preferred_frontmatter_name	aliases
json-validation	json-validation	.codex/skills/json-validation/SKILL.md	json-validation-04a300	
jupyter-notebook	jupyter-notebook	.codex/skills/jupyter-notebook/SKILL.md	jupyter-notebook-7fc061	-curated-jupyter-notebook-skill
kode-cli	kode-cli	.codex/skills/kode-cli/SKILL.md	kode-cli-bf39e7	
legacy-circuit-mockups	legacy-circuit-mockups	.codex/skills/legacy-circuit-mockups/SKILL.md	legacy-circuit-mockups-5d90c6	
legacy-handler	legacy-handler	.codex/skills/legacy-handler/SKILL.md	legacy-handler-d1e75a	
linear	linear	.codex/skills/linear/SKILL.md	linear-1d58ec	-curated-linear-skill
log-data	log-data	.codex/skills/log-data/SKILL.md	log-data-a9a3f5	
log-extraction	log-extraction	.codex/skills/log-extraction/SKILL.md	log-extraction-688068	tools-copilot-toolkit-skills-log-extraction-skill
make-skill-template	make-skill-template	.codex/skills/make-skill-template/SKILL.md	make-skill-template-eeb9fa	
markdown-to-html	markdown-to-html	.codex/skills/markdown-to-html/SKILL.md	markdown-to-html-20c527	
mcp	mcp	.codex/skills/mcp/SKILL.md	mcp	
mcp-builder	mcp-builder	.codex/skills/mcp-builder/SKILL.md	mcp-builder-1a14cf	
mcp-cli	mcp-cli	.codex/skills/mcp-cli/SKILL.md	mcp-cli-29be11	
mcp-click	mcp-click	.codex/skills/mcp-click/SKILL.md	mcp-click-da20fa	skills-mcp-click-skill
mcp-datagen	mcp-datagen	.codex/skills/mcp-datagen/SKILL.md	mcp-datagen-5a0bc7	skills-mcp-datagen-skill
mcp-everything	mcp-everything	.codex/skills/mcp-everything/SKILL.md	mcp-everything-639ad4	skills-mcp-everything-skill
mcp-fetch	mcp-fetch	.codex/skills/mcp-fetch/SKILL.md	mcp-fetch-d6e812	skills-mcp-fetch-skill
mcp-filesystem	mcp-filesystem	.codex/skills/mcp-filesystem/SKILL.md	mcp-filesystem-3b8dec	skills-mcp-filesystem-skill
mcp-ftp	mcp-ftp	.codex/skills/mcp-ftp/SKILL.md	mcp-ftp-3d3e8e	skills-mcp-ftp-skill
mcp-git	mcp-git	.codex/skills/mcp-git/SKILL.md	mcp-git-a8911a	skills-mcp-git-skill
mcp-integration	mcp-integration	.codex/skills/mcp-integration/SKILL.md	mcp-integration	skills-mcp-integration-skill
mcp-local	mcp-local	.codex/skills/mcp-local/SKILL.md	mcp-local	
mcp-memory	mcp-memory	.codex/skills/mcp-memory/SKILL.md	mcp-memory-256f36	skills-mcp-memory-skill
mcp-remote	mcp-remote	.codex/skills/mcp-remote/SKILL.md	mcp-remote	
mcp-sequentialthinking	mcp-sequentialthinking	.codex/skills/mcp-sequentialthinking/SKILL.md	mcp-sequentialthinking-b005d0	skills-mcp-sequentialthinking-skill
mcp-time	mcp-time	.codex/skills/mcp-time/SKILL.md	mcp-time-555c71	skills-mcp-time-skill
mcp-troubleshooting	mcp-troubleshooting	.codex/skills/mcp-troubleshooting/SKILL.md	mcp-troubleshooting	
mcpcurl	mcpcurl	.codex/skills/mcpcurl/SKILL.md	mcpcurl-7ca7ef	
media-writer	media-writer	.codex/skills/media-writer/SKILL.md	media-writer-37fd81	skills-media-writer-skill
microsoft-code-reference	microsoft-code-reference	.codex/skills/microsoft-code-reference/SKILL.md	microsoft-code-reference-35d488	
microsoft-docs	microsoft-docs	.codex/skills/microsoft-docs/SKILL.md	microsoft-docs-6e3f98	
mixins	mixins	.codex/skills/mixins/SKILL.md	mixins-c785c0	
need-auth	need-auth	.codex/skills/need-auth/SKILL.md	need-auth-57e28f	
netlify-deploy	netlify-deploy	.codex/skills/netlify-deploy/SKILL.md	netlify-deploy-440153	-curated-netlify-deploy-skill
no-any-prompt	no-any-prompt	.codex/skills/no-any-prompt/SKILL.md	no-any-prompt-b32f34	
notion-knowledge-capture	notion-knowledge-capture	.codex/skills/notion-knowledge-capture/SKILL.md	notion-knowledge-capture-c97e2c	-curated-notion-knowledge-capture-skill
notion-meeting-intelligence	notion-meeting-intelligence	.codex/skills/notion-meeting-intelligence/SKILL.md	notion-meeting-intelligence-117fec	-curated-notion-meeting-intelligence-skill
notion-research-documentation	notion-research-documentation	.codex/skills/notion-research-documentation/SKILL.md	notion-research-documentation-d673db	-curated-notion-research-documentation-skill
notion-spec-to-implementation	notion-spec-to-implementation	.codex/skills/notion-spec-to-implementation/SKILL.md	notion-spec-to-implementation-1143e6	-curated-notion-spec-to-implementation-skill
nuget-manager	nuget-manager	.codex/skills/nuget-manager/SKILL.md	nuget-manager-cd7462	
observability-monitoring	observability-monitoring	.codex/skills/observability-monitoring/SKILL.md	observability-monitoring-626f69	skills-observability-monitoring-skill
openai-docs	openai-docs	.codex/skills/openai-docs/SKILL.md	openai-docs-efd12e	-curated-openai-docs-skill
orchestrator	orchestrator	.codex/skills/orchestrator/SKILL.md	orchestrator-829a76	
overview	tools-overview	.codex/skills/tools-overview/SKILL.md	tools-overview-fe85a1	
packer-compression-triage	packer-compression-triage	.codex/skills/packer-compression-triage/SKILL.md	packer-compression-triage-5b663c	
parse-task	parse-task	.codex/skills/parse-task/SKILL.md	parse-task-523cca	
pdf	pdf	.codex/skills/pdf/SKILL.md	pdf-863b9f	-curated-pdf-skill
pdf-io	pdf-io	.codex/skills/pdf-io/SKILL.md	pdf-io-937983	skills-pdf-io-skill
performance-optimization	performance-optimization	.codex/skills/performance-optimization/SKILL.md	performance-optimization-3dd300	skills-performance-optimization-skill
plan	plan	.codex/skills/plan/SKILL.md	plan-05516c	
plan-deep-prompt	plan-deep-prompt	.codex/skills/plan-deep-prompt/SKILL.md	plan-deep-prompt-8bb9bc	
plan-fast-prompt	plan-fast-prompt	.codex/skills/plan-fast-prompt/SKILL.md	plan-fast-prompt-296f85	
plan-prompt	plan-prompt	.codex/skills/plan-prompt/SKILL.md	plan-prompt-76bf89	
plantuml-ascii	plantuml-ascii	.codex/skills/plantuml-ascii/SKILL.md	plantuml-ascii-45e6f9	
playwright	playwright	.codex/skills/playwright/SKILL.md	playwright-3c305d	-curated-playwright-skill
plugin-settings	plugin-settings	.codex/skills/plugin-settings/SKILL.md	plugin-settings	skills-plugin-settings-skill
plugin-structure	plugin-structure	.codex/skills/plugin-structure/SKILL.md	plugin-structure	skills-plugin-structure-skill
prd	prd	.codex/skills/prd/SKILL.md	prd-534c8e	
principled-implementation	principled-implementation	.codex/skills/principled-implementation/SKILL.md	principled-implementation-4db55e	
problem-explanation	problem-explanation	.codex/skills/problem-explanation/SKILL.md	problem-explanation-cf792f	
problem-solver	problem-solver	.codex/skills/problem-solver/SKILL.md	problem-solver-be6ec8	
problem-solver-iteration-prompt	problem-solver-iteration-prompt	.codex/skills/problem-solver-iteration-prompt/SKILL.md	problem-solver-iteration-prompt-ae100e	
problem-solver-system-prompt	problem-solver-system-prompt	.codex/skills/problem-solver-system-prompt/SKILL.md	problem-solver-system-prompt-86637d	
project-configurator	project-configurator	.codex/skills/project-configurator/SKILL.md	project-configurator-7b6bca	
project-details	project-details	.codex/skills/project-details/SKILL.md	project-details-12b1e7	
project-name	project-name	.codex/skills/project-name/SKILL.md	project-name-5a618d	
project-tasks	project-tasks	.codex/skills/project-tasks/SKILL.md	project-tasks-19c1dd	
prompt-complexity	prompt-complexity	.codex/skills/prompt-complexity/SKILL.md	prompt-complexity-b0be35	
prompt-design	prompt-design	.codex/skills/prompt-design/SKILL.md	prompt-design-6035c2	skills-prompt-design-skill
ran-command	ran-command	.codex/skills/ran-command/SKILL.md	ran-command-66c94c	
